U_B / V	U_A / V
0.1	0.0
0.2	0.0
0.3	0.0
0.5	0.0
0.6	0.0
0.8	0.0
0.9	0.0
1.0	0.0
1.2	0.0
1.3	0.0
1.4	0.0
1.6	0.0
1.7	0.0
1.8	0.0
2.0	0.0
2.2	0.0
2.2	0.0
2.4	0.0
2.6	0.0
2.7	0.0
2.8	0.0
2.9	0.0
3.0	0.0
3.2	0.0
3.3	0.0
3.5	0.0
3.7	0.0
3.7	0.0
3.9	0.0
4.0	0.0
4.2	0.0
4.3	0.0
4.4	0.0
4.6	0.0
4.7	0.0
4.9	0.0
5.0	0.0
5.1	0.0
5.3	0.0
5.4	0.0
5.5	0.0
5.7	0.0
5.9	0.0
5.9	0.0
6.1	0.0
6.3	0.0
6.4	0.0
6.5	0.1
6.6	0.1
6.8	0.1
6.9	0.1
7.0	0.1
7.2	0.1
7.3	0.1
7.5	0.1
7.6	0.1
7.7	0.1
7.9	0.1
8.0	0.1
8.1	0.1
8.3	0.1
8.4	0.1
8.6	0.1
8.7	0.1
8.8	0.1
9.0	0.1
9.1	0.2
9.2	0.2
9.4	0.3
9.5	0.4
9.7	0.5
9.8	0.6
9.9	0.7
10.0	0.9
10.2	1.0
10.3	1.3
10.5	1.5
10.6	1.7
10.7	2.1
10.9	2.3
11.0	2.7
11.2	3.2
11.3	3.5
11.4	3.9
11.6	4.2
11.7	4.4
11.9	4.4
12.0	4.1
12.1	3.8
12.2	3.4
12.4	3.1
12.6	2.7
12.7	2.3
12.8	1.8
12.9	1.6
13.1	1.3
13.2	1.1
13.4	1.0
13.5	0.9
13.6	0.9
13.8	0.9
13.9	1.0
14.1	1.1
14.2	1.4
14.3	1.6
14.5	1.9
14.6	2.3
14.7	2.6
14.9	3.2
15.0	3.7
15.1	4.2
15.3	5.0
15.4	5.7
15.5	6.5
15.7	7.3
15.8	8.3
16.0	9.3
16.1	10.3
16.2	11.0
16.4	11.1
16.6	11.2
16.7	11.2
16.8	11.2
16.9	11.2
17.1	11.2
17.2	11.1
17.4	11.1
17.4	11.0
17.6	9.6
17.7	8.0
17.9	7.2
18.0	6.2
18.1	5.6
18.3	4.8
18.4	4.4
18.6	4.3
18.7	4.2
18.8	4.2
19.0	4.4
19.2	5.0
19.3	5.6
19.4	6.3
19.5	7.2
19.7	8.4
19.8	9.8
19.9	11.0
20.1	11.2
20.2	11.2
20.3	11.3
20.5	11.3
20.6	11.3
20.8	11.3
20.9	11.3
21.1	11.3
21.2	11.3
21.4	11.3
21.5	11.3
21.6	11.3
21.7	11.3
21.9	11.3
22.0	11.3
22.2	11.3
22.3	11.3
22.5	11.3
22.6	11.3
22.8	11.3
22.8	11.3
22.9	11.3
23.1	11.3
23.2	11.3
23.4	11.3
23.5	11.3
23.7	11.3
23.7	11.3
23.9	11.3
24.0	11.3
24.2	11.3
24.3	11.3
24.4	11.3
24.6	11.3
24.7	11.3
24.9	11.3
25.0	11.3
25.2	11.3
25.3	11.3
25.4	11.3
25.6	11.3
25.8	11.3
25.9	11.3
26.0	11.3
26.1	11.3
26.1	11.3
26.2	11.3
26.4	11.3
26.5	11.3
27.1	11.3
27.0	11.3
27.1	11.3
27.2	11.3
27.4	11.3
27.5	11.3
27.6	11.3
27.8	11.3
28.0	11.3
28.0	11.3
28.2	11.3
28.3	11.3
28.5	11.3
28.5	11.3
28.6	11.3
28.6	11.3
28.5	11.3
28.5	11.3
28.5	11.3
28.5	11.3
28.5	11.3
