&a / °	I1 / %
5.459	0.5
5.454	0.5
5.449	0.5
5.443	0.5
5.438	0.5
5.433	0.5
5.428	0.5
5.422	0.5
5.417	0.5
5.412	0.5
5.406	0.5
5.401	0.5
5.396	0.5
5.390	0.5
5.385	0.5
5.380	0.5
5.375	0.5
5.369	0.5
5.364	0.5
5.359	0.5
5.353	0.5
5.348	0.5
5.343	0.5
5.337	0.5
5.332	0.5
5.327	0.5
5.322	0.5
5.316	0.6
5.311	0.6
5.306	0.7
5.300	0.7
5.295	0.8
5.290	0.8
5.284	0.8
5.279	0.8
5.274	0.9
5.269	0.9
5.263	1.1
5.258	1.2
5.253	1.2
5.247	1.2
5.242	1.3
5.237	1.4
5.231	1.6
5.226	1.6
5.221	1.6
5.216	1.6
5.210	1.6
5.205	1.6
5.200	1.6
5.194	1.6
5.189	1.6
5.184	1.6
5.178	2.0
5.173	2.0
5.168	2.4
5.162	2.4
5.157	2.4
5.152	2.4
5.147	2.4
5.141	2.4
5.136	2.4
5.131	2.4
5.125	2.4
5.120	2.4
5.115	2.8
5.109	3.1
5.104	3.2
5.099	3.2
5.094	3.6
5.088	4.0
5.083	4.0
5.078	4.0
5.072	4.0
5.067	4.0
5.062	4.0
5.056	3.7
5.051	3.6
5.046	3.6
5.040	3.9
5.035	4.3
5.030	4.6
5.025	4.7
5.019	5.1
5.014	5.6
5.009	6.0
5.003	5.6
4.998	5.6
4.993	5.6
4.987	6.0
4.982	5.6
4.977	5.2
4.971	4.8
4.966	4.8
4.961	5.2
4.956	5.6
4.950	6.0
4.945	6.3
4.940	6.8
4.934	7.6
4.929	8.3
4.924	8.3
4.918	8.0
4.913	8.0
4.908	8.0
4.902	7.6
4.897	6.8
4.892	6.0
4.887	5.6
4.881	6.4
4.876	7.2
4.871	7.6
4.865	8.0
4.860	8.8
4.855	10.1
4.849	10.9
4.844	10.9
4.839	10.5
4.833	10.4
4.828	10.4
4.823	10.0
4.818	9.2
4.812	8.4
4.807	8.0
4.802	8.3
4.796	9.1
