U_B / V	U_A / V
0.1	0.0
0.1	0.0
0.1	0.0
0.1	0.0
0.1	0.0
0.2	0.0
0.3	0.0
0.5	0.0
0.6	0.0
0.8	0.0
1.1	0.0
1.2	0.0
1.5	0.0
1.7	0.0
1.9	0.0
2.0	0.0
2.3	0.0
2.4	0.0
2.6	0.0
2.8	0.0
3.0	0.0
3.3	0.0
3.4	0.0
3.6	0.0
3.8	0.0
4.0	0.0
4.3	0.0
4.4	0.0
4.6	0.0
4.8	0.0
5.0	0.0
5.2	0.0
5.4	0.0
5.6	0.0
5.8	0.0
6.0	0.0
6.2	0.0
6.4	0.0
6.6	0.0
6.8	0.0
7.0	0.0
7.2	0.0
7.4	0.0
7.6	0.0
7.8	0.0
8.0	0.0
8.2	0.0
8.4	0.0
8.6	0.0
8.7	0.0
9.0	0.0
9.2	0.0
9.4	0.0
9.6	0.0
9.8	0.0
9.9	0.0
10.2	0.0
10.3	0.0
10.6	0.0
10.8	0.0
10.9	0.0
11.1	0.1
11.3	0.1
11.5	0.1
11.7	0.1
11.9	0.2
12.2	0.2
12.3	0.2
12.5	0.2
12.7	0.2
12.9	0.1
13.1	0.1
13.3	0.1
13.5	0.1
13.7	0.1
13.9	0.1
14.1	0.1
14.3	0.1
14.5	0.0
14.7	0.1
14.9	0.0
15.1	0.1
15.4	0.1
15.5	0.1
15.7	0.2
15.9	0.2
16.0	0.3
16.3	0.3
16.5	0.4
16.7	0.5
16.8	0.5
17.0	0.5
17.3	0.4
17.5	0.4
17.7	0.3
17.9	0.3
18.1	0.2
18.2	0.2
18.5	0.2
18.6	0.1
18.8	0.1
19.1	0.1
19.2	0.1
19.5	0.1
19.7	0.1
19.8	0.1
20.1	0.2
20.3	0.2
20.4	0.3
20.6	0.4
20.9	0.5
21.1	0.6
21.2	0.8
21.5	0.9
21.6	0.9
21.9	0.9
22.0	0.8
22.2	0.7
22.4	0.6
22.6	0.5
22.8	0.4
23.0	0.3
23.2	0.3
23.4	0.2
23.6	0.2
23.9	0.1
24.0	0.1
24.2	0.1
24.4	0.1
24.6	0.2
24.8	0.2
25.0	0.3
25.2	0.4
25.4	0.5
25.6	0.7
25.8	0.9
26.0	1.2
26.2	1.4
26.4	1.5
26.6	1.6
26.8	1.5
27.0	1.4
27.2	1.2
27.4	1.1
27.6	0.9
27.8	0.7
28.0	0.6
28.2	0.4
28.4	0.3
28.6	0.3
28.8	0.2
28.9	0.2
29.1	0.2
29.4	0.2
29.5	0.2
29.8	0.3
29.9	0.4
30.1	0.6
30.4	0.8
30.6	1.1
30.7	1.4
31.0	1.8
31.2	2.1
31.4	2.3
31.6	2.4
31.7	2.3
32.0	2.2
32.1	2.0
32.3	1.8
32.5	1.5
32.7	1.2
33.0	1.0
33.1	0.8
33.3	0.6
33.5	0.5
33.7	0.4
33.9	0.3
34.1	0.3
34.3	0.3
34.6	0.4
34.7	0.5
34.9	0.7
35.1	0.9
35.3	1.2
35.5	1.6
35.7	2.1
35.9	2.5
36.2	3.0
36.3	3.3
36.5	3.5
36.7	3.5
36.9	3.5
37.1	3.2
37.3	3.0
37.5	2.6
37.7	2.2
37.9	1.8
38.1	1.5
38.3	1.3
38.5	1.0
38.7	0.8
38.9	0.7
39.1	0.6
39.3	0.6
39.4	0.7
39.7	0.8
39.9	1.1
40.1	1.4
40.3	1.9
40.5	2.4
40.7	3.1
40.9	3.8
41.1	4.4
41.2	4.9
41.2	4.9
41.3	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.3	4.9
41.3	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.3	4.9
41.3	4.9
41.3	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.3	4.9
41.3	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.3	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.3	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.3	4.9
41.2	4.9
41.1	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.3	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.2	4.9
41.3	4.9
41.2	4.9
