U_B / V	U_A / V
0.1	0.0
0.1	0.0
0.1	0.0
0.1	0.0
0.1	0.0
0.1	0.0
0.1	0.0
0.1	0.0
0.2	0.0
0.4	0.0
0.5	0.0
0.8	0.0
0.9	0.0
1.1	0.0
1.2	0.0
1.4	0.0
1.6	0.0
1.8	0.0
1.9	0.0
2.1	0.0
2.2	0.0
2.4	0.0
2.6	0.0
2.8	0.0
2.9	0.0
3.1	0.0
3.3	0.0
3.5	0.0
3.6	0.0
3.8	0.0
3.9	0.0
4.1	0.0
4.3	0.0
4.5	0.0
4.6	0.0
4.8	0.0
5.0	0.0
5.1	0.0
5.3	0.0
5.5	0.0
5.7	0.0
5.9	0.0
6.0	0.0
6.2	0.0
6.4	0.0
6.5	0.0
6.7	0.0
6.9	0.0
7.0	0.0
7.2	0.0
7.4	0.0
7.5	0.0
7.7	0.0
7.9	0.0
8.0	0.0
8.2	0.0
8.4	0.0
8.5	0.0
8.8	0.0
8.9	0.0
9.1	0.0
9.2	0.0
9.4	0.0
9.6	0.0
9.8	0.0
9.9	0.0
10.1	0.1
10.3	0.1
10.5	0.1
10.6	0.1
10.8	0.2
10.9	0.2
11.2	0.3
11.3	0.3
11.5	0.4
11.6	0.5
11.8	0.5
11.9	0.4
12.2	0.4
12.3	0.3
12.5	0.3
12.7	0.2
12.9	0.2
13.0	0.2
13.2	0.2
13.3	0.1
13.5	0.1
13.7	0.1
13.9	0.1
14.0	0.2
14.2	0.2
14.4	0.3
14.5	0.4
14.7	0.4
14.9	0.6
15.1	0.7
15.2	0.9
15.4	1.0
15.6	1.3
15.8	1.5
15.9	1.8
16.1	2.1
16.2	2.4
16.4	2.7
16.6	2.8
16.8	2.7
16.9	2.5
17.1	2.2
17.3	1.9
17.4	1.7
17.6	1.3
17.8	1.1
17.9	0.9
18.1	0.7
18.3	0.6
18.5	0.5
18.6	0.5
18.8	0.6
19.0	0.6
19.1	0.8
19.4	0.9
19.5	1.1
19.7	1.3
19.8	1.7
20.0	2.0
20.2	2.4
20.4	2.8
20.5	3.3
20.7	3.8
20.8	4.4
21.1	5.0
21.2	5.7
21.4	6.1
21.6	6.2
21.8	6.0
21.9	5.6
22.1	5.1
22.2	4.5
22.4	3.9
22.6	3.2
22.7	2.6
22.9	2.1
23.1	1.7
23.3	1.4
23.4	1.3
23.6	1.2
23.8	1.2
24.0	1.3
24.1	1.5
24.3	1.8
24.5	2.1
24.6	2.5
24.8	3.0
25.0	3.6
25.1	4.2
25.3	5.0
25.5	5.8
25.6	6.8
25.9	7.7
26.0	8.9
26.2	9.7
26.3	10.6
26.5	10.9
26.7	10.9
26.8	10.7
27.0	10.2
27.2	9.5
27.3	8.5
27.5	7.5
27.7	6.4
27.9	5.6
28.0	4.7
28.2	4.0
28.4	3.6
28.5	3.3
28.7	3.2
28.9	3.3
29.1	3.5
29.3	3.9
29.4	4.4
29.6	5.2
29.7	5.9
29.9	7.1
30.1	8.3
30.2	9.9
30.4	11.0
30.6	11.2
30.8	11.2
31.0	11.3
31.1	11.3
31.3	11.3
31.4	11.3
31.6	11.3
31.8	11.3
31.9	11.3
32.1	11.3
32.3	11.3
32.5	11.3
32.7	11.3
32.8	11.3
33.0	11.3
33.2	11.3
33.3	11.3
33.5	11.3
33.7	11.3
33.8	11.3
34.0	11.3
34.2	11.3
34.3	11.3
34.5	11.3
34.7	11.3
34.9	11.3
35.1	11.3
35.2	11.3
35.5	11.3
35.5	11.3
35.5	11.3
35.5	11.4
35.5	11.3
35.5	11.3
35.5	11.3
35.5	11.3
35.5	11.3
35.5	11.3
35.5	11.3
35.5	11.3
35.5	11.3
35.5	11.3
35.5	11.3
35.5	11.3
35.5	11.3
35.5	11.3
35.5	11.3
35.5	11.3
35.5	11.3
35.5	11.3
35.5	11.3
35.5	11.3
35.5	11.3
35.5	11.3
35.5	11.3
35.5	11.3
35.6	11.3
35.5	11.3
35.5	11.3
35.5	11.3
35.5	11.3
35.5	11.3
35.5	11.3
35.5	11.3
35.5	11.3
35.6	11.3
35.5	11.3
35.5	11.3
35.6	11.4
35.6	11.3
