&a / °	I1 / %
5.459	0.4
5.454	0.4
5.449	0.4
5.443	0.4
5.438	0.4
5.433	0.4
5.428	0.4
5.422	0.4
5.417	0.4
5.412	0.4
5.406	0.4
5.401	0.4
5.396	0.4
5.390	0.4
5.385	0.4
5.380	0.4
5.375	0.4
5.369	0.4
5.364	0.4
5.359	0.4
5.353	0.4
5.348	0.4
5.343	0.4
5.337	0.4
5.332	0.4
5.327	0.4
5.322	0.4
5.316	0.4
5.311	0.4
5.306	0.4
5.300	0.4
5.295	0.4
5.290	0.4
5.284	0.4
5.279	0.4
5.274	0.4
5.269	0.4
5.263	0.4
5.258	0.4
5.253	0.6
5.247	0.7
5.242	0.9
5.237	0.9
5.231	1.0
5.226	1.0
5.221	1.0
5.216	0.9
5.210	0.8
5.205	0.8
5.200	0.8
5.194	0.8
5.189	1.0
5.184	1.2
5.178	1.5
5.173	1.6
5.168	1.7
5.162	2.0
5.157	2.0
5.152	2.0
5.147	2.0
5.141	1.9
5.136	1.8
5.131	1.6
5.125	1.6
5.120	1.6
5.115	1.6
5.109	1.9
5.104	2.3
5.099	2.4
5.094	2.8
5.088	3.2
5.083	3.2
5.078	3.2
5.072	3.2
5.067	3.2
5.062	2.8
5.056	2.4
5.051	2.0
5.046	2.0
5.040	2.0
5.035	2.4
5.030	2.9
5.025	3.5
5.019	4.0
5.014	4.8
5.009	5.2
5.003	5.2
4.998	5.2
4.993	4.8
4.987	4.5
4.982	4.0
4.977	3.6
4.971	3.2
4.966	2.8
4.961	2.8
4.956	3.2
4.950	4.0
4.945	4.8
4.940	5.6
4.934	6.4
4.929	7.1
4.924	7.4
4.918	7.3
4.913	7.0
4.908	6.2
4.902	5.4
4.897	4.5
4.892	4.0
4.887	3.6
4.881	3.6
4.876	4.2
4.871	5.2
4.865	6.0
4.860	7.2
4.855	8.4
4.849	9.6
4.844	9.8
4.839	9.8
4.833	9.4
4.828	8.6
4.823	7.4
4.818	6.4
4.812	5.6
4.807	5.1
4.802	4.8
4.796	5.2
4.791	6.0
4.786	7.2
4.780	8.4
4.775	10.0
4.770	11.6
4.764	12.4
4.759	12.7
4.754	12.4
4.748	11.6
4.743	10.3
4.738	8.7
4.733	7.5
4.727	6.4
4.722	6.0
4.717	5.9
4.711	6.8
4.706	8.0
4.701	9.6
4.695	11.2
4.690	13.2
4.685	14.6
4.679	15.3
4.674	15.4
4.669	15.0
4.663	13.6
4.658	12.0
4.653	10.1
4.648	8.6
4.642	7.5
4.637	7.0
4.632	7.1
4.626	8.4
4.621	10.0
4.616	11.8
4.610	14.0
4.605	16.0
4.600	17.6
4.594	18.4
4.589	18.4
4.584	17.6
4.578	16.0
4.573	14.0
4.568	12.0
4.563	10.4
4.557	9.1
4.552	8.4
4.547	8.4
4.541	9.6
4.536	11.2
4.531	13.2
4.525	15.3
4.520	17.4
4.515	18.8
4.509	20.0
4.504	20.7
4.499	20.3
4.493	18.8
4.488	16.8
4.483	14.4
4.478	12.4
4.472	10.7
4.467	9.6
4.462	9.5
4.456	10.6
4.451	12.0
4.446	14.0
4.440	16.6
4.435	19.4
4.430	21.1
4.424	22.4
4.419	23.2
4.414	22.8
4.408	21.3
4.403	19.3
4.398	17.0
4.392	14.7
4.387	12.7
4.382	11.2
4.377	10.4
4.371	10.8
4.366	12.0
4.361	13.6
4.355	15.7
4.350	18.8
4.345	20.9
4.339	21.3
4.334	21.0
4.329	20.4
4.323	19.3
4.318	18.5
4.313	17.5
4.307	16.3
4.302	14.7
4.297	13.1
4.291	11.7
4.286	11.2
4.281	11.8
4.275	13.7
4.270	15.5
4.265	17.6
4.260	20.8
4.254	23.7
4.249	24.9
4.244	25.9
4.238	26.7
4.233	26.3
4.228	24.4
4.222	22.0
4.217	19.2
4.212	16.8
4.206	14.4
4.201	12.8
4.196	11.7
4.190	12.1
4.185	13.8
4.180	16.0
4.174	18.0
4.169	20.9
4.164	24.4
4.158	26.4
4.153	26.8
4.148	27.1
4.143	26.5
4.137	25.1
4.132	22.8
4.127	20.4
4.121	18.2
4.116	16.3
4.111	14.4
4.105	13.2
4.100	12.4
4.095	13.6
4.089	16.0
4.084	18.1
4.079	20.2
4.073	23.2
