U_B / V	U_A / V
0.1	0.0
0.1	0.0
0.1	0.0
0.1	0.0
0.1	0.0
0.1	0.0
0.3	0.0
0.5	0.0
0.7	0.0
0.9	0.0
1.1	0.0
1.3	0.0
1.5	0.0
1.7	0.0
1.9	0.0
2.1	0.0
2.3	0.0
2.5	0.0
2.7	0.0
2.8	0.0
3.1	0.0
3.2	0.0
3.5	0.0
3.6	0.0
3.9	0.0
4.0	0.0
4.2	0.0
4.5	0.0
4.6	0.0
4.9	0.0
5.0	0.0
5.2	0.0
5.5	0.0
5.6	0.0
5.8	0.1
6.0	0.1
6.2	0.1
6.4	0.1
6.7	0.1
6.8	0.1
7.0	0.2
7.2	0.1
7.4	0.2
7.6	0.2
7.8	0.1
8.1	0.2
8.2	0.2
8.4	0.2
8.6	0.2
8.8	0.2
9.0	0.2
9.3	0.2
9.4	0.2
9.6	0.2
9.8	0.2
10.0	0.2
10.2	0.2
10.4	0.2
10.6	0.3
10.8	0.3
11.0	0.3
11.2	0.4
11.4	0.5
11.6	0.5
11.8	0.6
11.9	0.6
12.2	0.5
12.3	0.5
12.5	0.5
12.8	0.5
12.9	0.4
13.2	0.4
13.3	0.3
13.6	0.3
13.7	0.3
14.0	0.3
14.2	0.3
14.3	0.3
14.5	0.4
14.7	0.4
15.0	0.5
15.1	0.6
15.3	0.7
15.5	0.8
15.7	0.9
15.9	1.1
16.1	1.2
16.3	1.3
16.6	1.4
16.7	1.4
17.0	1.3
17.1	1.2
17.3	1.1
17.5	0.9
17.7	0.8
17.9	0.7
18.1	0.6
18.4	0.6
18.5	0.5
18.7	0.5
18.9	0.6
19.1	0.6
19.3	0.7
19.5	0.8
19.7	0.9
19.9	1.1
20.1	1.3
20.3	1.5
20.5	1.7
20.7	2.0
20.9	2.3
21.1	2.5
21.3	2.7
21.5	2.8
21.7	2.7
21.9	2.4
22.1	2.2
22.3	1.8
22.5	1.5
22.7	1.3
22.9	1.1
23.1	0.9
23.3	0.9
23.4	0.9
23.7	0.9
23.8	1.0
24.1	1.1
24.2	1.3
24.5	1.4
24.7	1.7
24.8	2.0
25.1	2.3
25.2	2.7
25.4	3.0
25.7	3.5
25.9	3.9
26.1	4.4
26.2	4.7
26.5	4.7
26.6	4.4
26.8	4.1
27.0	3.6
27.3	3.1
27.5	2.6
27.6	2.1
27.8	1.8
28.0	1.6
28.2	1.4
28.4	1.4
28.6	1.5
28.8	1.6
29.0	1.8
29.2	2.0
29.4	2.4
29.6	2.7
29.8	3.2
30.0	3.6
30.2	4.2
30.4	4.8
30.6	5.4
30.8	6.1
31.0	6.6
31.2	7.0
31.4	7.1
31.6	6.9
31.8	6.5
32.0	5.8
32.2	5.1
32.3	4.5
32.6	3.8
32.8	3.2
32.9	2.8
33.2	2.5
33.4	2.4
33.6	2.4
33.7	2.5
34.0	2.8
34.2	3.2
34.4	3.6
34.5	4.1
34.8	4.8
35.0	5.5
35.1	6.3
35.3	7.2
35.6	8.1
35.7	9.2
35.9	9.9
36.2	10.5
36.4	10.8
36.5	10.7
36.7	10.4
36.9	9.8
37.1	8.9
37.3	8.0
37.6	7.1
37.7	6.3
37.9	5.5
38.1	5.0
38.3	4.8
38.5	4.7
38.7	4.8
38.9	5.1
39.1	5.6
39.3	6.2
39.5	7.1
39.7	7.9
40.0	9.1
40.1	10.3
40.3	11.1
40.5	11.2
40.7	11.3
40.9	11.3
41.1	11.3
41.2	11.3
41.2	11.3
41.2	11.3
41.2	11.4
41.3	11.3
41.2	11.3
41.2	11.3
41.3	11.3
41.2	11.3
41.3	11.3
41.2	11.3
41.2	11.3
41.2	11.3
41.2	11.3
41.2	11.3
41.2	11.3
41.2	11.3
41.2	11.3
41.2	11.3
41.2	11.3
41.2	11.3
41.2	11.3
41.2	11.3
41.2	11.3
41.2	11.3
41.2	11.3
41.2	11.3
41.2	11.3
41.2	11.4
41.2	11.3
41.2	11.3
41.2	11.3
41.2	11.4
41.2	11.3
41.2	11.3
41.2	11.3
41.2	11.3
41.3	11.3
41.2	11.3
41.2	11.3
41.2	11.4
41.2	11.3
41.2	11.3
41.2	11.3
41.2	11.3
41.2	11.3
41.2	11.3
41.2	11.3
41.2	11.3
41.2	11.3
41.2	11.3
41.2	11.3
41.2	11.3
41.3	11.3
41.2	11.3
41.2	11.3
41.2	11.3
41.2	11.3
41.2	11.3
41.2	11.3
41.2	11.3
41.2	11.3
41.3	11.3
41.2	11.3
41.2	11.3
0.1	3.8
0.1	0.0
0.1	0.0
0.1	0.0
0.1	0.0
0.2	0.0
0.1	0.0
0.1	0.0
0.0	0.0
0.1	0.0
0.1	0.0
0.1	0.0
0.1	0.0
0.1	0.0
0.0	0.0
0.1	0.0
