U_B / V	U_A / V
0.1	0.0
0.1	0.0
0.1	0.0
0.1	0.0
0.1	0.0
0.1	0.0
0.1	0.0
0.2	0.0
0.4	0.0
0.7	0.0
0.8	0.0
1.0	0.0
1.2	0.0
1.4	0.0
1.6	0.0
1.8	0.0
1.9	0.0
2.2	0.0
2.4	0.0
2.6	0.0
2.8	0.0
3.0	0.0
3.2	0.0
3.3	0.0
3.5	0.0
3.8	0.0
3.9	0.0
4.2	0.0
4.4	0.0
4.6	0.0
4.8	0.0
5.0	0.0
5.2	0.0
5.3	0.0
5.6	0.0
5.7	0.0
6.0	0.0
6.2	0.0
6.4	0.0
6.5	0.0
6.7	0.0
7.0	0.0
7.1	0.0
7.3	0.0
7.5	0.0
7.7	0.0
7.9	0.0
8.2	0.0
8.4	0.0
8.5	0.0
8.7	0.0
8.9	0.0
9.1	0.0
9.3	0.0
9.5	0.0
9.8	0.0
9.9	0.0
10.1	0.0
10.3	0.0
10.4	0.0
10.7	0.0
10.9	0.0
11.1	0.0
11.3	0.0
11.5	0.1
11.7	0.1
11.9	0.1
12.0	0.1
12.2	0.1
12.5	0.1
12.7	0.1
12.9	0.1
13.0	0.1
13.3	0.1
13.5	0.1
13.7	0.0
13.9	0.1
14.1	0.0
14.3	0.0
14.4	0.0
14.7	0.0
14.8	0.0
15.1	0.0
15.3	0.0
15.4	0.0
15.7	0.0
15.9	0.1
16.0	0.1
16.3	0.2
16.4	0.2
16.6	0.2
16.8	0.2
17.0	0.3
17.2	0.2
17.4	0.2
17.6	0.2
17.8	0.2
18.1	0.2
18.2	0.1
18.4	0.1
18.6	0.1
18.8	0.1
19.0	0.0
19.2	0.1
19.4	0.0
19.6	0.0
19.8	0.0
20.0	0.0
20.2	0.0
20.4	0.1
20.6	0.1
20.8	0.2
21.0	0.3
21.2	0.4
21.4	0.4
21.6	0.5
21.8	0.5
22.0	0.5
22.2	0.5
22.4	0.4
22.6	0.3
22.8	0.3
23.0	0.2
23.2	0.2
23.4	0.2
23.6	0.1
23.8	0.1
24.0	0.1
24.2	0.1
24.4	0.1
24.5	0.1
24.8	0.0
25.0	0.1
25.2	0.1
25.4	0.2
25.6	0.3
25.8	0.4
25.9	0.5
26.1	0.7
26.3	0.8
26.6	0.9
26.8	0.9
27.0	0.9
27.2	0.8
27.3	0.7
27.5	0.6
27.7	0.5
27.9	0.4
28.1	0.3
28.3	0.2
28.5	0.2
28.7	0.1
28.9	0.1
29.1	0.1
29.3	0.1
29.5	0.1
29.7	0.1
29.9	0.1
30.1	0.2
30.3	0.3
30.5	0.4
30.7	0.6
30.9	0.8
31.1	1.0
31.4	1.2
31.5	1.3
31.6	1.4
31.9	1.3
32.1	1.2
32.3	1.1
32.5	0.9
32.7	0.8
32.9	0.7
33.1	0.5
33.3	0.4
33.5	0.3
33.7	0.3
33.9	0.2
34.1	0.2
34.3	0.1
34.5	0.1
34.7	0.2
34.8	0.2
35.1	0.3
35.3	0.5
35.5	0.6
35.7	0.9
35.9	1.2
36.1	1.5
36.3	1.7
36.4	1.9
36.7	2.0
36.8	2.0
37.1	2.0
37.3	1.8
37.4	1.6
37.6	1.4
37.9	1.2
38.0	1.0
38.3	0.8
38.4	0.6
38.6	0.5
38.9	0.4
39.0	0.3
39.2	0.3
39.4	0.3
39.7	0.3
39.8	0.4
40.0	0.5
40.2	0.7
40.4	1.0
40.6	1.4
40.8	1.7
41.0	2.2
41.2	2.6
