U_B / V	U_A / V
0.1	0.0
0.1	0.0
0.1	0.0
0.1	0.0
0.1	0.0
0.1	0.0
0.0	0.0
0.0	0.0
0.1	0.0
0.1	0.0
0.2	0.0
0.4	0.0
0.6	0.0
0.8	0.0
1.0	0.0
1.2	0.0
1.5	0.0
1.7	0.0
1.8	0.0
2.1	0.0
2.2	0.0
2.5	0.0
2.7	0.0
2.9	0.0
3.1	0.0
3.3	0.0
3.5	0.0
3.7	0.0
3.9	0.0
4.1	0.0
4.3	0.0
4.5	0.0
4.7	0.0
4.9	0.0
5.1	0.0
5.3	0.0
5.5	0.0
5.7	0.0
6.0	0.0
6.1	0.0
6.3	0.0
6.6	0.0
6.7	0.0
7.0	0.0
7.1	0.0
7.4	0.0
7.6	0.0
7.8	0.0
8.0	0.0
8.2	0.0
8.4	0.0
8.6	0.0
8.8	0.0
9.0	0.0
9.2	0.0
9.4	0.0
9.6	0.0
9.8	0.0
10.0	0.0
10.2	0.1
10.5	0.1
10.6	0.1
10.8	0.2
11.1	0.2
11.2	0.3
11.5	0.3
11.6	0.4
11.9	0.4
12.1	0.4
12.2	0.4
12.5	0.3
12.6	0.3
12.9	0.3
13.1	0.2
13.3	0.2
13.5	0.2
13.7	0.2
13.9	0.2
14.1	0.2
14.3	0.2
14.5	0.2
14.7	0.3
14.9	0.3
15.2	0.4
15.3	0.5
15.5	0.6
15.7	0.7
15.9	0.9
16.1	1.1
16.4	1.2
16.6	1.3
16.7	1.3
17.0	1.2
17.2	1.1
17.4	0.9
17.6	0.8
17.7	0.6
18.0	0.5
18.2	0.4
18.4	0.3
18.6	0.3
18.8	0.3
19.0	0.3
19.2	0.3
19.4	0.4
19.6	0.5
19.8	0.7
20.1	0.8
20.2	1.0
20.5	1.3
20.6	1.5
20.9	1.8
21.1	2.1
21.3	2.4
21.5	2.6
21.7	2.5
21.9	2.3
22.0	2.0
22.3	1.7
22.5	1.4
22.7	1.1
22.9	0.8
23.1	0.7
23.3	0.5
23.6	0.5
23.7	0.5
23.9	0.5
24.1	0.6
24.3	0.7
24.5	0.9
24.7	1.1
25.0	1.4
25.1	1.7
25.3	2.1
25.6	2.5
25.8	3.1
26.0	3.5
26.2	3.9
26.4	4.2
26.6	4.1
26.8	3.8
27.0	3.5
27.2	3.0
27.4	2.5
27.6	2.0
27.8	1.6
28.0	1.3
28.2	1.0
28.4	0.9
28.6	0.8
28.8	0.9
29.1	1.0
29.3	1.2
29.5	1.4
29.6	1.7
29.8	2.1
30.0	2.6
30.2	3.2
30.5	3.7
30.6	4.4
30.9	5.1
31.0	5.5
31.3	6.0
31.5	6.0
31.7	5.9
31.9	5.6
32.1	5.1
32.3	4.3
32.5	3.7
32.7	3.0
32.9	2.4
33.2	2.0
33.4	1.7
33.5	1.5
33.7	1.5
33.9	1.6
34.1	1.7
34.3	2.1
34.6	2.5
34.8	3.1
35.0	3.7
35.2	4.4
35.4	5.4
35.6	6.2
35.8	7.3
35.9	8.2
36.2	9.0
36.4	9.4
36.6	9.6
36.8	9.4
37.0	8.9
37.2	8.1
37.4	7.3
37.6	6.5
37.9	5.4
38.1	4.7
38.3	4.1
38.4	3.6
38.6	3.4
38.9	3.3
39.1	3.5
39.3	3.9
39.5	4.4
39.7	5.2
39.9	6.1
40.1	7.2
40.3	8.6
40.5	10.1
40.7	11.1
40.9	11.2
41.1	11.3
41.3	11.3
41.5	11.3
41.7	11.3
41.9	11.3
42.1	11.3
42.3	11.3
42.5	11.3
