&a / °	I1 / %
5.459	0.8
5.454	0.8
5.449	0.8
5.443	0.8
5.438	0.8
5.433	0.8
5.428	0.8
5.422	0.8
5.417	0.8
5.412	0.8
5.406	0.8
5.401	0.8
5.396	0.8
5.390	0.8
5.385	0.8
5.380	0.8
5.375	0.8
5.369	0.8
5.364	0.8
5.359	0.8
5.353	0.8
5.348	0.8
5.343	0.8
5.337	0.8
5.332	0.8
5.327	0.8
5.322	0.8
5.316	0.8
5.311	0.8
5.306	0.8
5.300	0.8
5.295	1.0
5.290	1.0
5.284	1.1
5.279	1.2
5.274	1.2
5.269	1.2
5.263	1.2
5.258	1.2
5.253	1.5
5.247	1.5
5.242	1.6
5.237	1.6
5.231	1.6
5.226	1.6
5.221	1.6
5.216	1.6
5.210	1.6
5.205	1.6
5.200	1.8
5.194	1.9
5.189	2.0
5.184	2.0
5.178	2.2
5.173	2.4
5.168	2.7
5.162	2.8
5.157	2.8
5.152	2.8
5.147	2.8
5.141	2.8
5.136	2.9
5.131	2.9
5.125	3.0
5.120	3.1
5.115	3.3
5.109	3.4
5.104	3.4
5.099	3.4
5.094	3.8
5.088	4.2
5.083	4.4
5.078	4.4
5.072	4.4
5.067	4.4
5.062	4.7
5.056	4.6
5.051	4.4
5.046	4.4
5.040	4.7
5.035	5.1
5.030	5.2
5.025	5.2
5.019	5.5
5.014	6.2
5.009	6.6
5.003	6.4
4.998	6.0
4.993	6.0
4.987	6.4
4.982	6.4
4.977	6.3
4.971	5.9
4.966	5.9
4.961	6.3
4.956	6.7
4.950	6.7
4.945	6.8
4.940	7.3
4.934	8.4
4.929	9.1
4.924	9.1
4.918	8.6
4.913	8.4
4.908	8.5
4.902	8.4
4.897	7.6
4.892	7.2
4.887	7.2
4.881	8.0
4.876	8.4
4.871	8.7
4.865	8.7
4.860	9.5
4.855	10.8
4.849	12.0
4.844	11.9
4.839	11.2
4.833	10.8
4.828	11.2
4.823	11.2
4.818	10.7
4.812	9.9
4.807	9.9
4.802	10.3
4.796	10.8
4.791	10.8
4.786	10.8
4.780	11.2
4.775	13.1
4.770	14.7
4.764	15.0
4.759	14.4
4.754	14.0
4.748	13.9
4.743	14.0
4.738	13.6
4.733	12.8
4.727	12.0
4.722	12.1
4.717	12.8
4.711	13.2
4.706	13.2
4.701	13.4
4.695	14.7
4.690	16.8
4.685	17.9
4.679	17.8
4.674	17.1
4.669	16.9
4.663	16.9
4.658	16.8
4.653	16.0
4.648	15.1
4.642	14.6
4.637	14.9
4.632	15.3
4.626	15.4
4.621	15.4
4.616	16.2
4.610	18.0
4.605	20.3
4.600	21.2
4.594	21.1
4.589	20.3
4.584	20.0
4.578	20.0
4.573	19.6
4.568	18.5
4.563	17.5
4.557	17.1
4.552	17.5
4.547	17.9
4.541	17.9
4.536	17.7
4.531	18.4
4.525	20.0
4.520	21.9
4.515	22.8
4.509	23.1
4.504	22.8
4.499	23.0
4.493	23.1
4.488	22.6
4.483	21.4
4.478	19.9
4.472	19.1
4.467	19.5
4.462	19.9
4.456	19.9
4.451	19.8
4.446	20.3
4.440	22.2
4.435	24.7
4.430	25.9
4.424	26.2
4.419	25.6
4.414	25.2
4.408	25.3
4.403	25.0
4.398	24.1
4.392	22.8
