&a / °	I1 / %
5.459	0.6
5.454	0.6
5.449	0.6
5.443	0.6
5.438	0.6
5.433	0.6
5.428	0.6
5.422	0.6
5.417	0.6
5.412	0.6
5.406	0.6
5.401	0.6
5.396	0.6
5.390	0.6
5.385	0.6
5.380	0.6
5.375	0.6
5.369	0.6
5.364	0.6
5.359	0.6
5.353	0.6
5.348	0.6
5.343	0.6
5.337	0.6
5.332	0.6
5.327	0.7
5.322	0.7
5.316	0.8
5.311	0.8
5.306	0.8
5.300	0.8
5.295	0.8
5.290	0.8
5.284	0.8
5.279	0.8
5.274	1.1
5.269	1.1
5.263	1.2
5.258	1.2
5.253	1.3
5.247	1.3
5.242	1.5
5.237	1.6
5.231	1.6
5.226	1.6
5.221	1.6
5.216	1.6
5.210	1.6
5.205	1.6
5.200	1.6
5.194	1.6
5.189	1.7
5.184	1.9
5.178	2.0
5.173	2.3
5.168	2.5
5.162	2.6
5.157	2.7
5.152	2.7
5.147	2.7
5.141	2.8
5.136	2.8
5.131	2.8
5.125	2.8
5.120	2.8
5.115	3.2
5.109	3.2
5.104	3.2
5.099	3.2
5.094	3.6
5.088	4.0
5.083	4.1
5.078	4.1
5.072	4.1
5.067	4.4
5.062	4.4
5.056	4.3
5.051	4.0
5.046	4.0
5.040	4.3
5.035	4.7
5.030	5.0
5.025	5.0
5.019	5.2
5.014	6.0
5.009	6.3
5.003	6.1
4.998	5.7
4.993	5.8
4.987	6.2
4.982	6.1
4.977	5.7
4.971	5.4
4.966	5.4
4.961	5.8
4.956	6.2
4.950	6.4
4.945	6.5
4.940	7.1
4.934	8.2
4.929	8.7
4.924	8.7
4.918	8.4
4.913	8.4
4.908	8.4
4.902	8.0
4.897	7.3
4.892	6.8
4.887	6.8
4.881	7.5
4.876	8.0
4.871	8.4
4.865	8.4
4.860	9.2
4.855	10.4
4.849	11.5
4.844	11.5
4.839	11.0
4.833	10.8
4.828	10.9
4.823	10.8
4.818	10.0
4.812	9.2
4.807	8.9
4.802	9.3
4.796	10.0
4.791	10.2
4.786	10.3
4.780	11.1
4.775	12.8
