I_A1 / A	B_B1 / mT
0.00	1
0.72	60
0.71	61
1.86	167
1.61	144
2.22	199
2.25	200
2.45	219
3.02	269
3.11	279
3.59	321
3.89	350
4.05	364
4.53	406
4.97	441
5.12	453
5.33	468
5.73	494
5.97	510
6.47	534
6.93	554
7.43	572
7.80	584
8.10	594
8.19	597
8.45	605
8.78	614
8.90	618
8.91	617
