Polarisations,Zurueckgewinnung,Frequenz,21,16158,MHz,,
tau,Envelope,
10,5.05,0.2
20,1.025,0.2
30,1.93,0.2
40,3.83,0.2
50,5.26,0.2
60,6.31,0.2
70,7.11,0.2
80,7.89,0.2
90,8.16,0.2
100,8.55,0.2
110,8.84,0.2
120,9.11,0.2
130,9.29,0.2
140,9.48,0.2
150,9.62,0.2
160,9.74,0.2
170,9.86,0.2
180,9.93,0.2
190,10,0.2
200,10.09,0.2
250,10.36,0.2
300,10.51,0.2
350,10.58,0.2
400,10.65,0.2
450,10.71,0.2
500,10.74,0.2
750,10.83,0.2
