Effektive,Translations,Relaxation,Frequenz,21,16133,MHz,,
tau,Envelope,
1,9.075,0.2
3,7.26,0.2
5,5.86,0.2
7,4.81,0.2
9,3.99,0.2
11,3.33,0.2
13,2.83,0.2
15,2.37,0.2
17,2.01,0.2
19,1.71,0.2
21,1.44,0.2
