																
grün1			Rot1			Rot2			Türkis			violett			violettx2	
&a / °	I1 / %		&a / °	I1 / %		&a / °	I1 / %		&a / °	I1 / %		&a / °	I1 / %		&a / °	I1 / %
2.565	15.3		2.565	18.8		2.565	14.4		2.565	14.0		2.565	14.8		2.565	15.2
2.562	15.3		2.562	18.8		2.562	14.4		2.562	14.0		2.562	14.8		2.562	15.2
2.560	15.3		2.560	18.8		2.560	14.4		2.560	14.0		2.560	14.8		2.560	15.2
2.557	15.3		2.557	18.8		2.557	14.4		2.557	14.0		2.557	14.8		2.557	15.2
2.554	15.3		2.554	18.8		2.554	14.4		2.554	14.0		2.554	14.8		2.554	15.2
2.552	15.3		2.552	18.7		2.552	14.4		2.552	14.0		2.552	14.8		2.552	15.2
2.549	15.3		2.549	18.8		2.549	14.4		2.549	14.0		2.549	14.8		2.549	15.2
2.546	15.3		2.546	18.7		2.546	14.4		2.546	14.0		2.546	14.7		2.546	15.2
2.544	15.3		2.544	18.7		2.544	14.4		2.544	14.0		2.544	14.7		2.544	15.2
2.541	15.3		2.541	18.7		2.541	14.4		2.541	14.0		2.541	14.8		2.541	15.2
2.538	15.3		2.538	18.7		2.538	14.4		2.538	14.0		2.538	14.7		2.538	15.2
2.536	15.3		2.536	18.8		2.536	14.4		2.536	14.0		2.536	14.7		2.536	15.2
2.533	15.3		2.533	18.8		2.533	14.4		2.533	14.0		2.533	14.8		2.533	15.2
2.530	15.3		2.530	18.8		2.530	14.4		2.530	14.0		2.530	14.8		2.530	15.2
2.528	15.3		2.528	18.8		2.528	14.4		2.528	14.0		2.528	14.8		2.528	15.1
2.525	15.3		2.525	18.8		2.525	14.4		2.525	14.0		2.525	14.8		2.525	15.1
2.522	15.3		2.522	18.8		2.522	14.4		2.522	14.0		2.522	14.8		2.522	15.2
2.520	15.3		2.520	18.8		2.520	14.4		2.520	14.0		2.520	14.8		2.520	15.2
2.517	15.3		2.517	18.8		2.517	14.4		2.517	14.0		2.517	14.8		2.517	15.2
2.514	15.3		2.514	18.8		2.514	14.4		2.514	14.0		2.514	14.8		2.514	15.1
