																
grün1			Rot1			Rot2			Türkis			violett			violettx2	
&a / °	I1 / %		&a / °	I1 / %		&a / °	I1 / %		&a / °	I1 / %		&a / °	I1 / %		&a / °	I1 / %
2.007	15.3		2.007	18.8		2.007	14.5		2.007	14.2		2.007	15.0		2.007	15.3
2.005	15.3		2.005	18.8		2.005	14.5		2.005	14.2		2.005	15.0		2.005	15.3
2.002	15.3		2.002	18.8		2.002	14.5		2.002	14.2		2.002	15.0		2.002	15.3
1.999	15.3		1.999	18.9		1.999	14.5		1.999	14.2		1.999	15.0		1.999	15.3
1.997	15.3		1.997	18.9		1.997	14.5		1.997	14.2		1.997	15.0		1.997	15.3
1.994	15.3		1.994	18.9		1.994	14.5		1.994	14.2		1.994	15.0		1.994	15.3
1.991	15.3		1.991	18.9		1.991	14.5		1.991	14.2		1.991	15.0		1.991	15.3
1.989	15.3		1.989	18.9		1.989	14.5		1.989	14.2		1.989	15.0		1.989	15.3
1.986	15.3		1.986	18.9		1.986	14.5		1.986	14.2		1.986	15.0		1.986	15.3
1.983	15.3		1.983	18.8		1.983	14.5		1.983	14.2		1.983	15.0		1.983	15.3
1.980	15.3		1.980	18.9		1.980	14.6		1.980	14.2		1.980	15.0		1.980	15.3
1.978	15.3		1.978	18.9		1.978	14.5		1.978	14.2		1.978	15.0		1.978	15.3
1.975	15.3		1.975	18.9		1.975	14.5		1.975	14.2		1.975	15.0		1.975	15.3
1.972	15.3		1.972	18.9		1.972	14.6		1.972	14.2		1.972	15.0		1.972	15.3
1.970	15.3		1.970	18.9		1.970	14.6		1.970	14.2		1.970	15.0		1.970	15.3
1.967	15.3		1.967	18.9		1.967	14.6		1.967	14.2		1.967	15.0		1.967	15.3
1.964	15.3		1.964	18.9		1.964	14.6		1.964	14.2		1.964	15.0		1.964	15.3
1.962	15.3		1.962	18.9		1.962	14.6		1.962	14.2		1.962	15.0		1.962	15.3
1.959	15.3		1.959	18.9		1.959	14.6		1.959	14.2		1.959	15.0		1.959	15.3
1.956	15.3		1.956	18.9		1.956	14.6		1.956	14.2		1.956	15.0		1.956	15.3
1.954	15.3		1.954	18.9		1.954	14.6		1.954	14.2		1.954	15.0		1.954	15.3
1.951	15.3		1.951	18.9		1.951	14.6		1.951	14.3		1.951	15.0		1.951	15.3
1.948	15.3		1.948	18.9		1.948	14.6		1.948	14.2		1.948	15.0		1.948	15.3
1.946	15.3		1.946	18.9		1.946	14.6		1.946	14.2		1.946	15.0		1.946	15.3
1.943	15.3		1.943	18.9		1.943	14.6		1.943	14.3		1.943	15.0		1.943	15.3
1.940	15.3		1.940	18.9		1.940	14.6		1.940	14.3		1.940	15.0		1.940	15.3
1.938	15.3		1.938	18.9		1.938	14.6		1.938	14.2		1.938	15.0		1.938	15.3
1.935	15.3		1.935	18.9		1.935	14.6		1.935	14.2		1.935	15.0		1.935	15.3
1.932	15.3		1.932	18.9		1.932	14.7		1.932	14.2		1.932	15.0		1.932	15.3
1.930	15.3		1.930	18.9		1.930	14.6		1.930	14.3		1.930	15.0		1.930	15.3
1.927	15.3		1.927	18.9		1.927	14.6		1.927	14.3		1.927	15.0		1.927	15.3
1.924	15.3		1.924	18.9		1.924	14.6		1.924	14.3		1.924	15.0		1.924	15.3
1.922	15.3		1.922	18.9		1.922	14.6		1.922	14.3		1.922	15.0		1.922	15.3
1.919	15.3		1.919	18.9		1.919	14.6		1.919	14.3		1.919	15.0		1.919	15.3
1.916	15.3		1.916	19.0		1.916	14.7		1.916	14.3		1.916	15.0		1.916	15.3
1.914	15.3		1.914	19.0		1.914	14.7		1.914	14.3		1.914	15.0		1.914	15.3
1.911	15.3		1.911	18.9		1.911	14.7		1.911	14.3		1.911	15.0		1.911	15.3
1.908	15.3		1.908	18.9		1.908	14.7		1.908	14.3		1.908	15.0		1.908	15.3
1.906	15.3		1.906	18.9		1.906	14.7		1.906	14.3		1.906	15.0		1.906	15.4
1.903	15.3		1.903	18.9		1.903	14.6		1.903	14.3		1.903	15.0		1.903	15.3
1.900	15.3		1.900	18.9		1.900	14.6		1.900	14.3		1.900	15.0		1.900	15.3
1.898	15.3		1.898	18.9		1.898	14.7		1.898	14.3		1.898	15.0		1.898	15.3
1.895	15.3		1.895	18.9		1.895	14.7		1.895	14.3		1.895	15.0		1.895	15.3
1.892	15.3		1.892	18.9		1.892	14.6		1.892	14.3		1.892	15.0		1.892	15.3
1.890	15.3		1.890	18.9		1.890	14.7		1.890	14.3		1.890	15.0		1.890	15.4
1.887	15.3		1.887	18.9		1.887	14.7		1.887	14.3		1.887	15.0		1.887	15.4
1.884	15.3		1.884	18.9		1.884	14.7		1.884	14.3		1.884	15.0		1.884	15.4
1.882	15.3		1.882	18.9		1.882	14.6		1.882	14.3		1.882	15.0		1.882	15.3
1.879	15.3		1.879	18.9		1.879	14.6		1.879	14.3		1.879	15.0		1.879	15.4
1.876	15.3		1.876	18.9		1.876	14.7		1.876	14.3		1.876	15.0		1.876	15.4
1.874	15.3		1.874	19.0		1.874	14.7		1.874	14.3		1.874	15.0		1.874	15.4
1.871	15.3		1.871	18.9		1.871	14.6		1.871	14.3		1.871	15.0		1.871	15.4
1.868	15.3		1.868	19.0		1.868	14.6		1.868	14.3		1.868	15.0		1.868	15.4
1.866	15.3		1.866	18.9		1.866	14.7		1.866	14.3		1.866	15.0		1.866	15.4
1.863	15.3		1.863	18.9		1.863	14.6		1.863	14.3		1.863	15.0		1.863	15.4
1.860	15.3		1.860	19.0		1.860	14.7		1.860	14.3		1.860	15.0		1.860	15.4
1.858	15.3		1.858	18.9		1.858	14.7		1.858	14.3		1.858	15.0		1.858	15.4
1.855	15.3		1.855	18.9		1.855	14.6		1.855	14.3		1.855	15.0		1.855	15.4
1.852	15.3		1.852	18.9		1.852	14.6		1.852	14.3		1.852	15.0		1.852	15.4
1.850	15.3		1.850	18.9		1.850	14.7		1.850	14.3		1.850	15.0		1.850	15.4
1.847	15.3		1.847	19.0		1.847	14.7		1.847	14.3		1.847	15.0		1.847	15.4
1.844	15.3		1.844	18.9		1.844	14.6		1.844	14.3		1.844	15.0		1.844	15.4
1.842	15.3		1.842	18.9		1.842	14.6		1.842	14.3		1.842	15.0		1.842	15.4
1.839	15.3		1.839	18.9		1.839	14.7		1.839	14.3		1.839	15.0		1.839	15.4
1.836	15.3		1.836	18.9		1.836	14.7		1.836	14.3		1.836	15.0		1.836	15.4
1.834	15.3		1.834	18.9		1.834	14.6		1.834	14.3		1.834	15.0		1.834	15.4
1.831	15.3		1.831	18.9		1.831	14.6		1.831	14.3		1.831	15.0		1.831	15.4
1.828	15.3		1.828	19.0		1.828	14.7		1.828	14.3		1.828	15.0		1.828	15.4
1.826	15.3		1.826	19.0		1.826	14.7		1.826	14.3		1.826	15.0		1.826	15.4
1.823	15.3		1.823	19.0		1.823	14.7		1.823	14.3		1.823	15.0		1.823	15.4
1.820	15.3		1.820	19.0		1.820	14.7		1.820	14.3		1.820	15.0		1.820	15.4
1.818	15.3		1.818	19.0		1.818	14.7		1.818	14.3		1.818	15.0		1.818	15.4
1.815	15.3		1.815	19.0		1.815	14.7		1.815	14.3		1.815	15.0		1.815	15.4
1.812	15.3		1.812	19.0		1.812	14.7		1.812	14.3		1.812	15.0		1.812	15.4
1.810	15.3		1.810	19.0		1.810	14.7		1.810	14.3		1.810	15.0		1.810	15.4
1.807	15.3		1.807	19.0		1.807	14.7		1.807	14.3		1.807	15.0		1.807	15.4
1.804	15.3		1.804	19.0		1.804	14.7		1.804	14.3		1.804	15.0		1.804	15.4
1.802	15.3		1.802	19.0		1.802	14.7		1.802	14.3		1.802	15.0		1.802	15.4
1.799	15.3		1.799	19.0		1.799	14.7		1.799	14.3		1.799	15.0		1.799	15.4
1.796	15.3		1.796	19.0		1.796	14.7		1.796	14.3		1.796	15.0		1.796	15.4
1.794	15.3		1.794	19.0		1.794	14.7		1.794	14.2		1.794	15.0		1.794	15.4
1.791	15.3		1.791	19.0		1.791	14.7		1.791	14.3		1.791	15.0		1.791	15.3
1.788	15.3		1.788	19.0		1.788	14.7		1.788	14.3		1.788	15.0		1.788	15.3
1.786	15.3		1.786	19.0		1.786	14.7		1.786	14.3		1.786	15.0		1.786	15.3
1.783	15.3		1.783	19.0		1.783	14.7		1.783	14.3		1.783	15.0		1.783	15.4
1.780	15.3		1.780	19.0		1.780	14.7		1.780	14.3		1.780	15.0		1.780	15.4
1.778	15.3		1.778	19.0		1.778	14.7		1.778	14.3		1.778	15.0		1.778	15.4
1.775	15.3		1.775	19.0		1.775	14.7		1.775	14.3		1.775	15.0		1.775	15.4
1.772	15.3		1.772	19.0		1.772	14.7		1.772	14.3		1.772	15.0		1.772	15.4
1.769	15.3		1.769	19.0		1.769	14.7		1.769	14.3		1.769	15.0		1.769	15.4
1.767	15.3		1.767	19.0		1.767	14.7		1.767	14.3		1.767	15.0		1.767	15.4
1.764	15.3		1.764	19.0		1.764	14.7		1.764	14.3		1.764	15.0		1.764	15.4
1.761	15.3		1.761	19.0		1.761	14.7		1.761	14.3		1.761	15.0		1.761	15.4
1.759	15.3		1.759	19.0		1.759	14.7		1.759	14.3		1.759	15.0		1.759	15.4
1.756	15.3		1.756	19.0		1.756	14.7		1.756	14.3		1.756	15.0		1.756	15.4
1.753	15.3		1.753	19.0		1.753	14.7		1.753	14.3		1.753	15.0		1.753	15.4
1.751	15.3		1.751	19.0		1.751	14.7		1.751	14.3		1.751	15.0		1.751	15.4
1.748	15.3		1.748	19.0		1.748	14.7		1.748	14.3		1.748	15.0		1.748	15.4
1.745	15.3		1.745	19.0		1.745	14.8		1.745	14.3		1.745	15.0		1.745	15.4
1.743	15.3		1.743	19.0		1.743	14.8		1.743	14.3		1.743	15.0		1.743	15.4
1.740	15.3		1.740	19.0		1.740	14.8		1.740	14.3		1.740	15.1		1.740	15.4
1.737	15.3		1.737	19.0		1.737	14.8		1.737	14.3		1.737	15.0		1.737	15.4
1.735	15.3		1.735	19.1		1.735	14.8		1.735	14.3		1.735	15.1		1.735	15.4
1.732	15.3		1.732	19.0		1.732	14.7		1.732	14.3		1.732	15.1		1.732	15.4
1.729	15.3		1.729	19.0		1.729	14.8		1.729	14.3		1.729	15.1		1.729	15.4
1.727	15.3		1.727	19.1		1.727	14.8		1.727	14.3		1.727	15.1		1.727	15.4
1.724	15.3		1.724	19.0		1.724	14.8		1.724	14.3		1.724	15.1		1.724	15.4
1.721	15.3		1.721	19.0		1.721	14.8		1.721	14.3		1.721	15.1		1.721	15.4
1.719	15.3		1.719	19.0		1.719	14.8		1.719	14.3		1.719	15.1		1.719	15.4
1.716	15.3		1.716	19.1		1.716	14.8		1.716	14.3		1.716	15.1		1.716	15.4
1.713	15.3		1.713	19.1		1.713	14.8		1.713	14.3		1.713	15.1		1.713	15.4
1.711	15.3		1.711	19.0		1.711	14.8		1.711	14.3		1.711	15.1		1.711	15.4
1.708	15.3		1.708	19.0		1.708	14.8		1.708	14.3		1.708	15.1		1.708	15.4
1.705	15.3		1.705	19.0		1.705	14.8		1.705	14.3		1.705	15.1		1.705	15.4
1.703	15.3		1.703	19.0		1.703	14.8		1.703	14.3		1.703	15.1		1.703	15.4
1.700	15.3		1.700	19.0		1.700	14.8		1.700	14.3		1.700	15.1		1.700	15.4
1.697	15.3		1.697	19.0		1.697	14.8		1.697	14.3		1.697	15.1		1.697	15.4
1.695	15.3		1.695	19.1		1.695	14.8		1.695	14.3		1.695	15.1		1.695	15.4
1.692	15.3		1.692	19.1		1.692	14.8		1.692	14.3		1.692	15.1		1.692	15.4
1.689	15.4		1.689	19.1		1.689	14.8		1.689	14.3		1.689	15.1		1.689	15.4
1.687	15.4		1.687	19.1		1.687	14.8		1.687	14.3		1.687	15.1		1.687	15.4
1.684	15.4		1.684	19.1		1.684	14.8		1.684	14.4		1.684	15.1		1.684	15.4
1.681	15.4		1.681	19.1		1.681	14.8		1.681	14.4		1.681	15.2		1.681	15.4
1.679	15.4		1.679	19.1		1.679	14.9		1.679	14.4		1.679	15.2		1.679	15.4
1.676	15.4		1.676	19.1		1.676	14.9		1.676	14.4		1.676	15.2		1.676	15.4
1.673	15.4		1.673	19.1		1.673	14.8		1.673	14.4		1.673	15.2		1.673	15.4
1.671	15.4		1.671	19.1		1.671	14.8		1.671	14.4		1.671	15.2		1.671	15.4
1.668	15.4		1.668	19.1		1.668	14.8		1.668	14.4		1.668	15.2		1.668	15.4
1.665	15.4		1.665	19.1		1.665	14.8		1.665	14.4		1.665	15.2		1.665	15.4
1.663	15.4		1.663	19.1		1.663	14.8		1.663	14.4		1.663	15.2		1.663	15.4
1.660	15.4		1.660	19.1		1.660	14.8		1.660	14.4		1.660	15.2		1.660	15.4
1.657	15.4		1.657	19.1		1.657	14.8		1.657	14.4		1.657	15.2		1.657	15.4
1.655	15.4		1.655	19.1		1.655	14.8		1.655	14.4		1.655	15.2		1.655	15.4
1.652	15.4		1.652	19.1		1.652	14.8		1.652	14.4		1.652	15.2		1.652	15.4
1.649	15.4		1.649	19.1		1.649	14.8		1.649	14.4		1.649	15.2		1.649	15.4
1.647	15.4		1.647	19.1		1.647	14.9		1.647	14.4		1.647	15.2		1.647	15.4
1.644	15.4		1.644	19.1		1.644	14.9		1.644	14.4		1.644	15.2		1.644	15.4
1.641	15.4		1.641	19.1		1.641	14.9		1.641	14.4		1.641	15.2		1.641	15.4
1.639	15.4		1.639	19.1		1.639	14.9		1.639	14.4		1.639	15.2		1.639	15.4
1.636	15.4		1.636	19.1		1.636	14.9		1.636	14.4		1.636	15.2		1.636	15.4
1.633	15.4		1.633	19.1		1.633	14.9		1.633	14.4		1.633	15.2		1.633	15.4
1.631	15.4		1.631	19.2		1.631	14.9		1.631	14.4		1.631	15.2		1.631	15.4
1.628	15.4		1.628	19.2		1.628	14.9		1.628	14.4		1.628	15.2		1.628	15.4
1.625	15.4		1.625	19.2		1.625	14.9		1.625	14.4		1.625	15.2		1.625	15.4
1.623	15.4		1.623	19.2		1.623	14.9		1.623	14.4		1.623	15.3		1.623	15.4
1.620	15.4		1.620	19.2		1.620	14.9		1.620	14.4		1.620	15.3		1.620	15.4
1.617	15.4		1.617	19.1		1.617	14.9		1.617	14.4		1.617	15.3		1.617	15.4
1.615	15.4		1.615	19.1		1.615	14.9		1.615	14.4		1.615	15.3		1.615	15.4
1.612	15.4		1.612	19.2		1.612	14.9		1.612	14.4		1.612	15.3		1.612	15.4
1.609	15.4		1.609	19.2		1.609	14.9		1.609	14.4		1.609	15.3		1.609	15.4
1.607	15.4		1.607	19.2		1.607	14.9		1.607	14.4		1.607	15.3		1.607	15.4
1.604	15.4		1.604	19.2		1.604	14.9		1.604	14.4		1.604	15.3		1.604	15.4
1.601	15.4		1.601	19.2		1.601	14.9		1.601	14.4		1.601	15.3		1.601	15.4
1.599	15.4		1.599	19.1		1.599	14.8		1.599	14.4		1.599	15.3		1.599	15.4
1.596	15.4		1.596	19.2		1.596	14.9		1.596	14.4		1.596	15.3		1.596	15.4
1.593	15.4		1.593	19.2		1.593	14.9		1.593	14.4		1.593	15.3		1.593	15.4
1.591	15.4		1.591	19.1		1.591	14.9		1.591	14.4		1.591	15.3		1.591	15.4
1.588	15.4		1.588	19.1		1.588	14.8		1.588	14.4		1.588	15.3		1.588	15.4
1.585	15.4		1.585	19.2		1.585	14.8		1.585	14.4		1.585	15.3		1.585	15.4
1.582	15.4		1.582	19.2		1.582	14.9		1.582	14.4		1.582	15.3		1.582	15.4
1.580	15.4		1.580	19.2		1.580	14.9		1.580	14.4		1.580	15.3		1.580	15.4
1.577	15.4		1.577	19.2		1.577	14.9		1.577	14.4		1.577	15.3		1.577	15.4
1.574	15.4		1.574	19.2		1.574	14.9		1.574	14.4		1.574	15.3		1.574	15.4
1.572	15.4		1.572	19.2		1.572	14.9		1.572	14.4		1.572	15.3		1.572	15.4
1.569	15.4		1.569	19.2		1.569	14.9		1.569	14.4		1.569	15.3		1.569	15.4
1.566	15.4		1.566	19.2		1.566	14.9		1.566	14.4		1.566	15.3		1.566	15.4
1.564	15.4		1.564	19.2		1.564	14.9		1.564	14.4		1.564	15.3		1.564	15.4
1.561	15.4		1.561	19.2		1.561	14.9		1.561	14.4		1.561	15.3		1.561	15.4
1.558	15.4		1.558	19.2		1.558	14.9		1.558	14.4		1.558	15.3		1.558	15.4
1.556	15.5		1.556	19.2		1.556	14.9		1.556	14.4		1.556	15.3		1.556	15.4
1.553	15.5		1.553	19.2		1.553	14.9		1.553	14.4		1.553	15.3		1.553	15.4
1.550	15.5		1.550	19.2		1.550	14.9		1.550	14.4		1.550	15.3		1.550	15.4
1.548	15.5		1.548	19.2		1.548	14.9		1.548	14.4		1.548	15.3		1.548	15.4
1.545	15.5		1.545	19.2		1.545	14.9		1.545	14.4		1.545	15.3		1.545	15.4
1.542	15.5		1.542	19.2		1.542	14.9		1.542	14.4		1.542	15.3		1.542	15.4
1.540	15.5		1.540	19.2		1.540	14.9		1.540	14.4		1.540	15.3		1.540	15.4
1.537	15.5		1.537	19.2		1.537	14.9		1.537	14.4		1.537	15.3		1.537	15.4
1.534	15.5		1.534	19.2		1.534	14.9		1.534	14.4		1.534	15.3		1.534	15.4
1.532	15.5		1.532	19.2		1.532	14.9		1.532	14.4		1.532	15.4		1.532	15.4
1.529	15.5		1.529	19.2		1.529	14.9		1.529	14.4		1.529	15.4		1.529	15.4
1.526	15.5		1.526	19.2		1.526	14.9		1.526	14.4		1.526	15.4		1.526	15.4
1.524	15.5		1.524	19.2		1.524	15.0		1.524	14.4		1.524	15.4		1.524	15.4
1.521	15.5		1.521	19.2		1.521	14.9		1.521	14.4		1.521	15.4		1.521	15.4
1.518	15.5		1.518	19.3		1.518	15.0		1.518	14.5		1.518	15.4		1.518	15.4
1.516	15.5		1.516	19.3		1.516	15.0		1.516	14.5		1.516	15.4		1.516	15.4
1.513	15.5		1.513	19.3		1.513	15.0		1.513	14.5		1.513	15.4		1.513	15.4
1.510	15.5		1.510	19.3		1.510	14.9		1.510	14.5		1.510	15.4		1.510	15.4
1.508	15.5		1.508	19.3		1.508	15.0		1.508	14.5		1.508	15.4		1.508	15.4
1.505	15.5		1.505	19.3		1.505	15.0		1.505	14.5		1.505	15.4		1.505	15.4
1.502	15.5		1.502	19.3		1.502	14.9		1.502	14.5		1.502	15.4		1.502	15.4
1.500	15.5		1.500	19.3		1.500	14.9		1.500	14.5		1.500	15.4		1.500	15.4
1.497	15.5		1.497	19.3		1.497	14.9		1.497	14.5		1.497	15.4		1.497	15.4
1.494	15.5		1.494	19.3		1.494	14.9		1.494	14.5		1.494	15.4		1.494	15.4
1.492	15.5		1.492	19.3		1.492	14.9		1.492	14.5		1.492	15.4		1.492	15.4
1.489	15.5		1.489	19.3		1.489	14.9		1.489	14.5		1.489	15.4		1.489	15.4
1.486	15.6		1.486	19.3		1.486	14.9		1.486	14.5		1.486	15.4		1.486	15.4
1.484	15.6		1.484	19.3		1.484	14.9		1.484	14.5		1.484	15.4		1.484	15.4
1.481	15.6		1.481	19.3		1.481	15.0		1.481	14.5		1.481	15.4		1.481	15.4
1.478	15.6		1.478	19.3		1.478	15.0		1.478	14.5		1.478	15.4		1.478	15.4
1.476	15.6		1.476	19.3		1.476	15.0		1.476	14.5		1.476	15.4		1.476	15.4
1.473	15.6		1.473	19.3		1.473	15.0		1.473	14.5		1.473	15.4		1.473	15.4
1.470	15.6		1.470	19.3		1.470	15.0		1.470	14.5		1.470	15.4		1.470	15.4
1.468	15.6		1.468	19.4		1.468	15.0		1.468	14.5		1.468	15.4		1.468	15.4
1.465	15.6		1.465	19.3		1.465	15.0		1.465	14.5		1.465	15.4		1.465	15.4
1.462	15.6		1.462	19.3		1.462	15.0		1.462	14.5		1.462	15.4		1.462	15.4
1.460	15.6		1.460	19.4		1.460	15.0		1.460	14.5		1.460	15.4		1.460	15.4
1.457	15.6		1.457	19.4		1.457	15.0		1.457	14.6		1.457	15.4		1.457	15.4
1.454	15.6		1.454	19.4		1.454	15.0		1.454	14.6		1.454	15.4		1.454	15.4
1.452	15.6		1.452	19.4		1.452	15.0		1.452	14.6		1.452	15.4		1.452	15.4
1.449	15.6		1.449	19.4		1.449	15.0		1.449	14.6		1.449	15.4		1.449	15.4
1.446	15.6		1.446	19.4		1.446	15.0		1.446	14.6		1.446	15.4		1.446	15.4
1.444	15.6		1.444	19.4		1.444	15.0		1.444	14.6		1.444	15.4		1.444	15.4
1.441	15.7		1.441	19.4		1.441	15.0		1.441	14.6		1.441	15.4		1.441	15.4
1.438	15.6		1.438	19.4		1.438	15.0		1.438	14.6		1.438	15.4		1.438	15.4
1.436	15.6		1.436	19.4		1.436	15.0		1.436	14.6		1.436	15.4		1.436	15.4
1.433	15.6		1.433	19.4		1.433	15.0		1.433	14.6		1.433	15.4		1.433	15.4
1.430	15.6		1.430	19.4		1.430	15.0		1.430	14.6		1.430	15.4		1.430	15.4
1.428	15.6		1.428	19.4		1.428	15.0		1.428	14.6		1.428	15.4		1.428	15.4
1.425	15.6		1.425	19.4		1.425	15.0		1.425	14.6		1.425	15.4		1.425	15.4
1.422	15.6		1.422	19.4		1.422	15.0		1.422	14.6		1.422	15.4		1.422	15.4
1.419	15.6		1.419	19.4		1.419	15.0		1.419	14.6		1.419	15.4		1.419	15.4
1.417	15.6		1.417	19.4		1.417	15.0		1.417	14.6		1.417	15.4		1.417	15.4
1.414	15.6		1.414	19.3		1.414	15.0		1.414	14.6		1.414	15.4		1.414	15.4
1.411	15.6		1.411	19.3		1.411	15.0		1.411	14.5		1.411	15.4		1.411	15.4
1.409	15.6		1.409	19.3		1.409	15.0		1.409	14.5		1.409	15.4		1.409	15.4
1.406	15.6		1.406	19.3		1.406	15.0		1.406	14.5		1.406	15.4		1.406	15.4
1.403	15.6		1.403	19.3		1.403	15.0		1.403	14.6		1.403	15.4		1.403	15.4
1.401	15.6		1.401	19.3		1.401	15.0		1.401	14.5		1.401	15.4		1.401	15.4
1.398	15.6		1.398	19.3		1.398	15.0		1.398	14.5		1.398	15.4		1.398	15.4
1.395	15.6		1.395	19.3		1.395	15.0		1.395	14.5		1.395	15.4		1.395	15.4
1.393	15.6		1.393	19.4		1.393	15.0		1.393	14.6		1.393	15.4		1.393	15.4
1.390	15.6		1.390	19.3		1.390	15.0		1.390	14.6		1.390	15.4		1.390	15.4
1.387	15.6		1.387	19.4		1.387	15.0		1.387	14.6		1.387	15.4		1.387	15.4
1.385	15.6		1.385	19.4		1.385	15.0		1.385	14.6		1.385	15.4		1.385	15.4
1.382	15.6		1.382	19.4		1.382	15.0		1.382	14.6		1.382	15.4		1.382	15.4
1.379	15.6		1.379	19.3		1.379	15.0		1.379	14.6		1.379	15.4		1.379	15.4
1.377	15.6		1.377	19.4		1.377	15.0		1.377	14.6		1.377	15.4		1.377	15.4
1.374	15.6		1.374	19.4		1.374	15.0		1.374	14.6		1.374	15.4		1.374	15.4
1.371	15.6		1.371	19.4		1.371	15.0		1.371	14.6		1.371	15.4		1.371	15.4
1.369	15.6		1.369	19.4		1.369	15.1		1.369	14.6		1.369	15.4		1.369	15.5
1.366	15.6		1.366	19.4		1.366	15.1		1.366	14.6		1.366	15.4		1.366	15.5
1.363	15.6		1.363	19.4		1.363	15.1		1.363	14.6		1.363	15.4		1.363	15.5
1.361	15.6		1.361	19.4		1.361	15.1		1.361	14.6		1.361	15.4		1.361	15.4
1.358	15.6		1.358	19.4		1.358	15.1		1.358	14.6		1.358	15.4		1.358	15.4
1.355	15.6		1.355	19.4		1.355	15.1		1.355	14.6		1.355	15.4		1.355	15.4
1.353	15.6		1.353	19.4		1.353	15.1		1.353	14.6		1.353	15.4		1.353	15.4
1.350	15.6		1.350	19.4		1.350	15.1		1.350	14.6		1.350	15.4		1.350	15.4
1.347	15.6		1.347	19.4		1.347	15.1		1.347	14.6		1.347	15.4		1.347	15.4
1.345	15.6		1.345	19.4		1.345	15.1		1.345	14.6		1.345	15.4		1.345	15.4
1.342	15.6		1.342	19.4		1.342	15.1		1.342	14.6		1.342	15.4		1.342	15.4
1.339	15.6		1.339	19.4		1.339	15.1		1.339	14.6		1.339	15.4		1.339	15.4
1.337	15.6		1.337	19.4		1.337	15.1		1.337	14.6		1.337	15.4		1.337	15.4
1.334	15.6		1.334	19.4		1.334	15.1		1.334	14.6		1.334	15.4		1.334	15.4
1.331	15.5		1.331	19.3		1.331	15.0		1.331	14.6		1.331	15.4		1.331	15.4
1.329	15.5		1.329	19.3		1.329	15.0		1.329	14.6		1.329	15.4		1.329	15.4
1.326	15.5		1.326	19.3		1.326	15.0		1.326	14.6		1.326	15.4		1.326	15.4
1.323	15.5		1.323	19.3		1.323	15.0		1.323	14.6		1.323	15.4		1.323	15.4
1.321	15.5		1.321	19.3		1.321	15.0		1.321	14.6		1.321	15.4		1.321	15.4
1.318	15.5		1.318	19.3		1.318	15.0		1.318	14.6		1.318	15.4		1.318	15.4
1.315	15.5		1.315	19.3		1.315	15.0		1.315	14.6		1.315	15.4		1.315	15.4
1.313	15.5		1.313	19.3		1.313	15.0		1.313	14.6		1.313	15.4		1.313	15.4
1.310	15.5		1.310	19.3		1.310	15.0		1.310	14.6		1.310	15.4		1.310	15.4
1.307	15.5		1.307	19.3		1.307	15.0		1.307	14.6		1.307	15.4		1.307	15.4
1.305	15.5		1.305	19.3		1.305	15.0		1.305	14.6		1.305	15.4		1.305	15.4
1.302	15.5		1.302	19.3		1.302	15.0		1.302	14.6		1.302	15.4		1.302	15.4
1.299	15.6		1.299	19.4		1.299	15.0		1.299	14.6		1.299	15.4		1.299	15.4
1.297	15.6		1.297	19.4		1.297	15.1		1.297	14.6		1.297	15.4		1.297	15.4
1.294	15.6		1.294	19.4		1.294	15.1		1.294	14.6		1.294	15.4		1.294	15.4
1.291	15.6		1.291	19.4		1.291	15.1		1.291	14.6		1.291	15.4		1.291	15.4
1.289	15.6		1.289	19.4		1.289	15.1		1.289	14.6		1.289	15.4		1.289	15.4
1.286	15.6		1.286	19.4		1.286	15.1		1.286	14.6		1.286	15.4		1.286	15.4
1.283	15.6		1.283	19.4		1.283	15.1		1.283	14.6		1.283	15.4		1.283	15.4
1.281	15.6		1.281	19.4		1.281	15.1		1.281	14.6		1.281	15.4		1.281	15.4
1.278	15.6		1.278	19.4		1.278	15.1		1.278	14.6		1.278	15.4		1.278	15.4
1.275	15.6		1.275	19.4		1.275	15.1		1.275	14.6		1.275	15.4		1.275	15.4
1.273	15.6		1.273	19.5		1.273	15.1		1.273	14.6		1.273	15.4		1.273	15.4
1.270	15.6		1.270	19.5		1.270	15.1		1.270	14.6		1.270	15.4		1.270	15.4
1.267	15.6		1.267	19.5		1.267	15.1		1.267	14.6		1.267	15.4		1.267	15.4
1.265	15.6		1.265	19.5		1.265	15.1		1.265	14.6		1.265	15.4		1.265	15.4
1.262	15.6		1.262	19.5		1.262	15.1		1.262	14.6		1.262	15.4		1.262	15.4
1.259	15.6		1.259	19.5		1.259	15.1		1.259	14.7		1.259	15.4		1.259	15.4
1.256	15.6		1.256	19.5		1.256	15.1		1.256	14.6		1.256	15.4		1.256	15.4
1.254	15.6		1.254	19.5		1.254	15.1		1.254	14.7		1.254	15.4		1.254	15.4
1.251	15.6		1.251	19.5		1.251	15.1		1.251	14.7		1.251	15.4		1.251	15.4
1.248	15.6		1.248	19.5		1.248	15.1		1.248	14.7		1.248	15.4		1.248	15.4
1.246	15.6		1.246	19.5		1.246	15.1		1.246	14.6		1.246	15.4		1.246	15.4
1.243	15.6		1.243	19.5		1.243	15.1		1.243	14.7		1.243	15.4		1.243	15.4
1.240	15.6		1.240	19.5		1.240	15.1		1.240	14.7		1.240	15.4		1.240	15.4
1.238	15.6		1.238	19.5		1.238	15.1		1.238	14.7		1.238	15.4		1.238	15.4
